alarm_id,lot_hist_id,lot_id,wafer_no,chamber_id,equipment_id,sensor_id,recipe_step_no,recipe_step_name,rule_id,judgement,hit_cnt,detail,occurred_at
ALM-0037,LH-00165,LOT-260009,5,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,3,"OOS 3 points at EXPOSE (mean 85.87, min 79.448, max 93.669)",2026-06-03 22:34:27
ALM-0038,LH-00167,LOT-260009,7,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,3,"OOS 3 points at EXPOSE (mean 92.098, min 80.393, max 113.033)",2026-06-03 22:38:35
ALM-0039,LH-00167,LOT-260009,7,PHO-01-C1,PHO-01,PH_FOCUS,2,DEVELOP,R01_OOS,OOS,1,"OOS 1 points at DEVELOP (mean 39.183, min 26.128, max 65.002)",2026-06-03 22:38:35
ALM-0040,LH-00169,LOT-260009,9,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,3,"OOS 3 points at EXPOSE (mean 92.272, min 71.575, max 103.793)",2026-06-03 22:42:21
ALM-0041,LH-00171,LOT-260009,1,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R01_OOS,OOS,1,"OOS 1 points at MAIN_ETCH (mean 75.302, min 73.667, max 76.796)",2026-06-03 23:12:41
ALM-0042,LH-00173,LOT-260009,3,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R01_OOS,OOS,3,"OOS 3 points at MAIN_ETCH (mean 74.066, min 73.586, max 75.243)",2026-06-03 23:17:24
ALM-0043,LH-00175,LOT-260009,5,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 76.166),2026-06-03 23:22:20
ALM-0044,LH-00177,LOT-260009,7,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 76.507),2026-06-03 23:27:11
ALM-0045,LH-00179,LOT-260009,9,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R01_OOS,OOS,1,"OOS 1 points at MAIN_ETCH (mean 74.171, min 73.438, max 74.723)",2026-06-03 23:31:50
ALM-0046,LH-00191,LOT-260010,1,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R01_OOS,OOS,2,"OOS 2 points at MAIN_ETCH (mean 73.55, min 72.061, max 74.28)",2026-06-04 07:10:41
ALM-0047,LH-00193,LOT-260010,3,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R01_OOS,OOS,4,"OOS 4 points at MAIN_ETCH (mean 72.747, min 71.527, max 73.474)",2026-06-04 07:15:24
ALM-0048,LH-00193,LOT-260010,3,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R03_CONSEC,OOS,3,OOS for 3 consecutive WAFER at MAIN_ETCH,2026-06-04 07:15:24
ALM-0049,LH-00195,LOT-260010,5,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R01_OOS,OOS,3,"OOS 3 points at MAIN_ETCH (mean 73.206, min 72.259, max 74.599)",2026-06-04 07:20:18
ALM-0050,LH-00197,LOT-260010,7,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R01_OOS,OOS,4,"OOS 4 points at MAIN_ETCH (mean 72.643, min 71.384, max 73.972)",2026-06-04 07:25:02
ALM-0051,LH-00199,LOT-260010,9,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R01_OOS,OOS,3,"OOS 3 points at MAIN_ETCH (mean 72.341, min 69.935, max 74.841)",2026-06-04 07:29:49
